Via Oreto,[['residential', -1], ['residential', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['residential', '40'], ['secondary', -1], ['secondary', -1], ['primary', -1], ['unclassified', -1], ['secondary', '40'], ['residential', -1], ['residential', '40'], ['residential', -1], ['primary', -1], ['secondary', '40'], ['secondary', '40']]
Via Clemente Cornella,[['unclassified', -1], ['unclassified', -1]]
Via Carlo Botta,[['residential', -1]]
Largo Ettore Romagnoli,[['residential', -1]]
Via Argisto Giuffredi,[['residential', -1]]
Via Giuseppe Zarbo,[['residential', -1]]
Vicolo del Monte,[['steps', -1]]
Piazza Strauss,[['residential', -1], ['residential', -1]]
Largo Medaglie D'Oro,[['unclassified', -1]]
Via S.97,[['unclassified', -1]]
Via Piedilegno,[['residential', -1]]
Via Francesco Testa,[['residential', -1]]
Vicolo Placido Viola,[['service', -1]]
Via Flavio Gioia,[['unclassified', -1], ['unclassified', -1]]
Piazza Marina,[['residential', -1], ['residential', -1], ['residential', -1], ['pedestrian', -1], ['residential', -1], ['pedestrian', -1]]
Via Generale Magliocco,[['pedestrian', -1]]
Via Manfredi Barogno,[['residential', -1]]
Via Salvatore Spinuzza,[['residential', -1]]
Via G. Ragusa,[['unclassified', -1]]
Piazza Alberico Gentili,[['residential', -1]]
Via F. Liardo,[['unclassified', -1]]
Via Francesco Maurolico,[['residential', -1], ['residential', -1]]
Via Re Martino,[['residential', -1]]
Via Grande Lattarini,[['residential', -1]]
Via Niccolò di Carlo,[['residential', -1]]
Via Napoli,[['residential', -1], ['residential', -1]]
Via Umberto Giordano,[['residential', -1], ['residential', -1]]
Via Marchese di Villabianca,[['residential', -1], ['secondary', -1], ['residential', -1], ['secondary', -1]]
Vicolo Grifotta,[['service', -1]]
Piazza San Giorgio dei Genovesi,[['residential', -1], ['residential', -1]]
Via Francesco De Sanctisw,[['unclassified', -1]]
Via Villa Barbera,[['residential', -1]]
Via Ludovico Antonio Muratori,[['residential', -1]]
Via Chiavettieri,[['pedestrian', -1]]
Piazzetta San Giorgio,[['pedestrian', -1]]
Via Principe di San Giuseppe,[['residential', -1]]
Via Ausonia,[['secondary', -1], ['secondary', -1]]
Via Antonio De Saliba,[['residential', -1], ['residential', -1]]
Via Chiappara al Carmine,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Michele Piazza,[['residential', -1]]
Via Castrofilippo,[['residential', -1], ['residential', -1], ['pedestrian', -1]]
Via Santa Maria del Piliero,[['residential', -1]]
Via Sabotino,[['residential', -1]]
Via Ruffo di Calabria,[['secondary', -1]]
Via Enrico Ferruzza,[['unclassified', -1]]
Via Vincenzo Barbera,[['residential', -1]]
Via San Giosafat,[['residential', -1]]
Viale Praga,[['residential', -1], ['secondary', -1], ['residential', -1]]
Largo Siviglia,[['residential', -1], ['residential', -1]]
Via Calascibetta,[['residential', -1]]
Vicolo Agalbato,[['residential', -1]]
Via Filippo Orioles,[['residential', -1], ['residential', -1]]
Vicolo del Bosco,[['service', -1]]
Via Pandolfini,[['secondary', -1]]
Via Giovanni Bonanno,[['residential', -1], ['residential', -1]]
Via Vito Sorba,[['residential', -1]]
Piazzale Ungheria,[['residential', -1]]
Vicolo Stalluzza,[['service', -1]]
Via Marchese di Roccaforte,[['secondary', -1], ['secondary', -1]]
Piazza Bellini,[['pedestrian', -1], ['pedestrian', -1]]
Porta dei Greci,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Pastore Giulio,[['residential', -1]]
Via Briuccia,[['residential', -1]]
Piazza Matteotti,[['pedestrian', -1]]
Via Benedetto Civiletti,[['residential', -1], ['residential', -1]]
Via Lampionelli,[['residential', -1]]
Piazza Thomas Edison,[['residential', -1]]
Via Ferrari orsi,[['unclassified', -1]]
Via Giuseppe Basile,[['residential', '50']]
Via Saverio Landolina,[['residential', -1], ['residential', -1]]
Via Carmelo Lazzaro,[['residential', '50'], ['residential', '50'], ['residential', '50'], ['residential', '50'], ['residential', '50'], ['residential', '50'], ['residential', '50']]
Via Rosselli,[['residential', -1]]
Via Pindemonte,[['unclassified', -1]]
Via Stazzone,[['residential', -1]]
Vicolo Pilicelli,[['service', -1]]
Vicolo Lo Castro,[['residential', -1]]
Piazza Vittorio Veneto,[['secondary', -1], ['secondary', -1], ['secondary', -1]]
Vicolo Greco,[['pedestrian', -1]]
Piazza Virgilio,[['secondary', -1], ['tertiary', -1], ['secondary', -1]]
Via Giovanni Aurispa,[['residential', -1], ['residential', -1]]
Via Gioacchino di Marzo,[['residential', -1], ['residential', -1]]
Via Isidoro La Lumia,[['residential', -1], ['residential', -1]]
Via Saverio Cavallari,[['residential', -1]]
Via Guglielmo Albimonte,[['residential', -1]]
Via Vann'antò,[['residential', -1]]
Via Vittorio Alfieri,[['residential', -1]]
Via Felice Bisazza,[['residential', -1], ['residential', -1]]
Via dei Frangiai,[['service', -1]]
Piazzetta Saponeria,[['residential', -1]]
Via Ruggerone da Palermo,[['residential', -1]]
Piazzetta Casa Professa,[['residential', -1], ['residential', -1]]
Via Alessandro La Marmora,[['residential', -1], ['residential', -1]]
Via Cutò,[['residential', -1]]
Via Altofonte,[['tertiary', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Carlo Alberto Garufi,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Luigi Giannettino,[['residential', '50']]
Discesa dei Giovenchi,[['residential', -1]]
Piazza Sant'Oliva,[['pedestrian', -1], ['residential', -1]]
Via Umberto I,[['tertiary', -1]]
Piazza Castelnuovo,[['pedestrian', -1], ['secondary', -1], ['unclassified', -1], ['tertiary', -1], ['tertiary', -1]]
Vicolo dell'Abbadia,[['service', -1]]
Via Giuseppe Ingegneros,[['residential', -1]]
Cortile Lampedusa,[['residential', -1]]
Piazza San Giovanni Decollato,[['residential', -1]]
Via Pippo Rizzo,[['unclassified', -1]]
Piazza Papireto,[['tertiary', -1], ['residential', -1]]
Vicolo San Giovanni Crisostomo,[['service', -1]]
Via Luigi Sarullo,[['secondary', -1]]
Via Gian Filippo Ingrassia,[['unclassified', -1]]
Via Houel,[['secondary', -1], ['unclassified', -1]]
Via Natale Mondo,[['residential', -1]]
Via Miceli,[['residential', -1], ['residential', -1]]
Via Simone Corleo,[['residential', -1]]
Via Giovanni Pascoli,[['residential', -1]]
Via Gioeni,[['residential', -1]]
Via Liborio Giuffrè,[['residential', -1], ['residential', -1]]
Viale Regina Margherita,[['residential', -1]]
Via Ragusa Moleti,[['unclassified', -1]]
Via Mario Rapisardi,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Parrocchia dei Tartari,[['service', -1], ['residential', -1], ['residential', -1]]
